date,channelGrouping,userAgeBracket,userType,sessions,transactions
20190308,Referral - Other - Non Paid,25-34,Returning Visitor,15,1
20190308,Referral - Other - Non Paid,35-44,New Visitor,20,0
20190308,Referral - Other - Non Paid,35-44,Returning Visitor,11,0
20190308,Referral - Other - Non Paid,45-54,New Visitor,30,0
20190308,Referral - Other - Non Paid,45-54,Returning Visitor,21,1
20190308,Referral - Other - Non Paid,55-64,New Visitor,15,0
20190308,Referral - Other - Non Paid,55-64,Returning Visitor,16,0
20190308,Referral - Other - Non Paid,65+,New Visitor,9,0
20190308,Search - Branded - Paid,18-24,New Visitor,155,1
20190308,Search - Branded - Paid,18-24,Returning Visitor,172,1
20190308,Search - Branded - Paid,25-34,New Visitor,692,3
20190308,Search - Branded - Paid,25-34,Returning Visitor,1029,10
20190308,Search - Branded - Paid,35-44,New Visitor,795,8
20190308,Search - Branded - Paid,35-44,Returning Visitor,1436,20
20190308,Search - Branded - Paid,45-54,New Visitor,504,2
20190308,Search - Branded - Paid,45-54,Returning Visitor,1014,11
20190308,Search - Branded - Paid,55-64,New Visitor,373,3
20190308,Search - Branded - Paid,55-64,Returning Visitor,628,8
20190308,Search - Branded - Paid,65+,New Visitor,169,1
20190308,Search - Branded - Paid,65+,Returning Visitor,284,3
20190308,Search - SEO - Non Paid,18-24,New Visitor,274,3
20190308,Search - SEO - Non Paid,18-24,Returning Visitor,243,4
20190308,Search - SEO - Non Paid,25-34,New Visitor,1093,4
20190308,Search - SEO - Non Paid,25-34,Returning Visitor,1207,16
20190308,Search - SEO - Non Paid,35-44,New Visitor,958,6
20190308,Search - SEO - Non Paid,35-44,Returning Visitor,1339,17
20190308,Search - SEO - Non Paid,45-54,New Visitor,658,5
20190308,Search - SEO - Non Paid,45-54,Returning Visitor,888,14
20190308,Search - SEO - Non Paid,55-64,New Visitor,440,2
20190308,Search - SEO - Non Paid,55-64,Returning Visitor,586,7
20190308,Search - SEO - Non Paid,65+,New Visitor,187,0
20190308,Search - SEO - Non Paid,65+,Returning Visitor,233,3
20190308,Search - Shopping - Paid,18-24,New Visitor,23,0
20190308,Search - Shopping - Paid,18-24,Returning Visitor,61,0
20190308,Search - Shopping - Paid,25-34,New Visitor,66,0
